bea_sector,bea_sector_name,bea_detail,bea_description,main_plastic_sector,main_sector_percent,secondary_plastic_sector,secondary_sector_percent
111CA,Farms,1111A0,Oilseed farming,Agriculture,95,Packaging,5
111CA,Farms,1111B0,Grain farming,Agriculture,95,Packaging,5
111CA,Farms,111200,Vegetable and melon farming,Agriculture,95,Packaging,5
111CA,Farms,111300,Fruit and tree nut farming,Agriculture,95,Packaging,5
111CA,Farms,111400,"Greenhouse, nursery, and floriculture production",Agriculture,95,Packaging,5
111CA,Farms,111900,Other crop farming,Agriculture,95,Packaging,5
111CA,Farms,112120,Dairy cattle and milk production,Agriculture,90,Packaging,10
111CA,Farms,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Agriculture,90,Packaging,10
111CA,Farms,112300,Poultry and egg production,Agriculture,90,Packaging,10
111CA,Farms,112A00,"Animal production, except cattle and poultry and eggs",Agriculture,90,Packaging,10
113FF,"Forestry, fishing, and related activities",113000,Forestry and logging,Agriculture,90,Packaging,10
113FF,"Forestry, fishing, and related activities",114000,"Fishing, hunting and trapping",Agriculture,90,Packaging,10
113FF,"Forestry, fishing, and related activities",115000,Support activities for agriculture and forestry,Agriculture,90,Packaging,10
325,Chemical products,325310,Fertilizer manufacturing,Packaging,100,,0
325,Chemical products,325320,Pesticide and other agricultural chemical manufacturing,Packaging,100,,0
23,Construction,230301,Nonresidential maintenance and repair,Construction,95,Packaging,5
23,Construction,230302,Residential maintenance and repair,Construction,95,Packaging,5
23,Construction,233210,Health care structures,Construction,95,Packaging,5
23,Construction,233230,Manufacturing structures,Construction,95,Packaging,5
23,Construction,233240,Power and communication structures,Construction,95,Packaging,5
23,Construction,233262,Educational and vocational structures,Construction,95,Packaging,5
23,Construction,2332A0,Office and commercial structures,Construction,95,Packaging,5
23,Construction,2332C0,Transportation structures and highways and streets,Construction,95,Packaging,5
23,Construction,2332D0,Other nonresidential structures,Construction,95,Packaging,5
23,Construction,233411,Single-family residential structures,Construction,95,Packaging,5
23,Construction,233412,Multifamily residential structures,Construction,95,Packaging,5
23,Construction,2334A0,Other residential structures,Construction,95,Packaging,5
321,Wood products,321100,Sawmills and wood preservation,Packaging,90,Construction,10
321,Wood products,321200,"Veneer, plywood, and engineered wood product manufacturing",Packaging,50,Construction,50
321,Wood products,321910,Millwork,Packaging,90,Construction,10
321,Wood products,3219A0,All other wood product manufacturing,Packaging,90,Construction,10
324,Petroleum and coal products,324110,Petroleum refineries,Construction,90,Packaging,10
324,Petroleum and coal products,324121,Asphalt paving mixture and block manufacturing,Construction,90,Packaging,10
324,Petroleum and coal products,324122,Asphalt shingle and coating materials manufacturing,Construction,90,Packaging,10
324,Petroleum and coal products,324190,Other petroleum and coal products manufacturing,Construction,90,Packaging,10
