year,ca_gdp,plastic_intensity_kg_2017usd,change_in_plastic_intensity,pop_scaled,gpd_scaled,diff_gdp_pop,io_frac_of_gdp
2050,5.39315E+12,0.002425393,-0.00002291,10.26,15.61,5.36,0.472864161
2049,5.31315E+12,0.002448303,,10.15,15.51,5.37,0.467227297
2048,5.23315E+12,0.002471213,,10.04,15.41,5.37,0.461888773
2047,5.15315E+12,0.002494123,,9.94,15.31,5.37,0.456835993
2046,5.07315E+12,0.002517033,,9.83,15.19,5.37,0.452057663
2045,4.99315E+12,0.002539943,,9.72,15.08,5.36,0.447543696
2044,4.91315E+12,0.002562853,,9.62,14.96,5.35,0.44328515
2043,4.83315E+12,0.002585763,,9.51,14.84,5.33,0.439274165
2042,4.75315E+12,0.002608673,,9.4,14.71,5.31,0.435503916
2041,4.67315E+12,0.002631583,,9.3,14.58,5.29,0.431968581
2040,4.59315E+12,0.002654493,,9.19,14.45,5.26,0.42866331
2039,4.51315E+12,0.002677403,,9.08,14.31,5.22,0.425584213
2038,4.43315E+12,0.002700313,,8.98,14.16,5.19,0.422728359
2037,4.35315E+12,0.002723223,,8.87,14.02,5.15,0.420093778
2036,4.27315E+12,0.002746133,,8.76,13.87,5.1,0.417679481
2035,4.19315E+12,0.002769043,,8.66,13.71,5.06,0.415485493
2034,4.11315E+12,0.002791953,,8.55,13.55,5,0.413512896
2033,4.03315E+12,0.002814863,,8.44,13.39,4.95,0.411763888
2032,3.95315E+12,0.002837773,,8.33,13.22,4.89,0.410241865
2031,3.87315E+12,0.002860683,,8.23,13.05,4.82,0.408951512
2030,3.79315E+12,0.002883593,,8.12,12.88,4.76,0.40789893
2029,3.71315E+12,0.002906503,,8.01,12.7,4.68,0.40709178
2028,3.63315E+12,0.002929413,,7.91,12.52,4.61,0.406539468
2027,3.55315E+12,0.002952323,,7.8,12.33,4.53,0.406253365
2026,3.47315E+12,0.002975233,,7.69,12.14,4.44,0.406247078
2025,3.39315E+12,0.002998143,,7.59,11.94,4.36,0.406536781
2024,3.31315E+12,0.003021053,,7.48,11.75,4.26,0.407141617
2023,3.23315E+12,0.003043963,,7.37,11.54,4.17,0.4080842
2022,3.16746E+12,0.003066873,,7.27,11.39,4.12,0.406113893
2021,3.14619E+12,0.003089783,,7.16,11.39,4.23,0.394550106
2020,2.92515E+12,0.003112693,,7.05,10.66,3.61,0.519692341
2019,2.96279E+12,0.002844292,,6.7,9.87,3.17,0.491993842
2018,2.85097E+12,0.002924052,,6.6,9.53,2.92,0.396363919
2017,2.74055E+12,0.002805367,,6.45,9.18,2.72,0.518500164
2016,2.62371E+12,0.002910864,,5.83,8.11,2.28,0.124285937
2015,2.54598E+12,0.003032922,,6.4,8.78,2.37,0.396051882
2014,2.42868E+12,0.002923675,,5.87,7.88,2.01,0.328268027
2013,2.34034E+12,0.00293825,,6.09,8.06,1.97,0.512899116
2012,2.25544E+12,0.003040936,,6.05,7.87,1.83,0.390312646
,,,,5.32,6.9,1.58,
,,,,5.68,7.36,1.68,
,,,,5.45,7.11,1.66,
,,,,5.78,7.57,1.79,
,,,,5.97,7.74,1.77,
,,,,5.85,7.54,1.7,
,,,,5.92,7.55,1.63,
,,,,5.62,7.08,1.46,
,,,,5.26,6.67,1.41,
,,,,5.33,6.67,1.34,
,,,,5.03,6.28,1.25,
,,,,5.12,6.45,1.33,
,,,,4.91,6.05,1.13,
,,,,4.62,5.54,0.92,
,,,,4.47,5.26,0.79,
,,,,4.27,4.96,0.69,
,,,,3.95,4.51,0.56,
,,,,3.96,4.44,0.48,
,,,,3.59,3.96,0.37,
,,,,3.41,3.71,0.3,
,,,,3.2,3.45,0.25,
,,,,3.16,3.36,0.2,
,,,,2.94,3.16,0.21,
,,,,2.86,3.07,0.21,
,,,,2.69,2.89,0.2,
,,,,2.41,2.59,0.18,
,,,,2.25,2.42,0.17,
,,,,2.12,2.27,0.15,
,,,,1.98,2.11,0.13,
,,,,1.71,1.81,0.1,
,,,,1.8,1.9,0.1,
,,,,1.74,1.81,0.07,
,,,,1.86,1.92,0.06,
,,,,1.69,1.73,0.04,
,,,,1.5,1.52,0.02,
,,,,1.3,1.31,0.01,
,,,,1.04,1.03,0,
,,,,1.25,1.23,-0.02,
,,,,1.27,1.23,-0.04,
,,,,0.97,0.93,-0.04,
,,,,0.9,0.84,-0.06,
,,,,0.83,0.76,-0.07,
,,,,0.76,0.69,-0.07,
,,,,0.69,0.62,-0.07,
,,,,0.63,0.55,-0.08,
,,,,0.58,0.5,-0.08,
,,,,0.52,0.44,-0.08,
,,,,0.47,0.4,-0.08,
,,,,0.43,0.35,-0.08,
,,,,0.39,0.31,-0.08,
,,,,0.35,0.28,-0.07,
,,,,0.32,0.25,-0.07,
,,,,0.29,0.22,-0.07,
,,,,0.26,0.2,-0.07,
,,,,0.24,0.18,-0.07,
,,,,0.22,0.16,-0.06,
,,,,0.21,0.15,-0.06,
,,,,0.17,0.11,-0.05,
,,,,0.16,0.11,-0.05,
,,,,0.13,0.09,-0.05,
,,,,0.16,0.1,-0.06,
,,,,0.12,0.08,-0.05,
