year,bau_rr
2050,0.19568
2049,0.19504
2048,0.19442
2047,0.19382
2046,0.19325
2045,0.19271
2044,0.19218
2043,0.19167
2042,0.19118
2041,0.19068
2040,0.19017
2039,0.18964
2038,0.18906
2037,0.18843
2036,0.18773
2035,0.18694
2034,0.18606
2033,0.18508
2032,0.18403
2031,0.18294
2030,0.18184
2029,0.18076
2028,0.17969
2027,0.17864
2026,0.17765
2025,0.17667
2024,0.17540
2023,0.17339
2022,0.17102
2021,0.17596
2020,0.17791
2019,0.17578
2018,0.17919
2017,0.17611
2016,0.17387
2015,0.17734
2014,0.17631
2013,0.17351
2012,0.18167
2011,0.17531
2010,0.17556
2009,0.16807
2008,0.16253
2007,0.15891
2006,0.15294
2005,0.14957
2004,0.14450
2003,0.13414
2002,0.12402
2001,0.10821
2000,0.09370
1999,0.07860
1998,0.06270
1997,0.04831
1996,0.03627
1995,0.02586
1994,0.01863
1993,0.01302
1992,0.00900
1991,0.00607
1990,0.00412
1989,0.00274
1988,0.00184
1987,0.00125
1986,0.00084
1985,0.00056
1984,0.00038
1983,0.00026
1982,0.00017
1981,0.00011
1980,0.00007
1979,0.00005
1978,0.00003
1977,0.00002
1976,0.00002
1975,0.00001
1974,0.00001
1973,0.00000
1972,0.00000
1971,0.00000
1970,0.00000
1969,0.00000
1968,0.00000
1967,0.00000
1966,0.00000
1965,0.00000
1964,0.00000
1963,0.00000
1962,0.00000
1961,0.00000
1960,0.00000
1959,0.00000
1958,0.00000
1957,0.00000
1956,0.00000
1955,0.00000
1954,0.00000
1953,0.00000
1952,0.00000
1951,0.00000
1950,0.00000
