year,mt_incin,sector 
2050,0,all_sec
2049,0,all_sec
2048,0,all_sec
2047,0,all_sec
2046,0,all_sec
2045,0,all_sec
2044,0,all_sec
2043,0,all_sec
2042,0,all_sec
2041,0,all_sec
2040,0,all_sec
2039,0,all_sec
2038,0,all_sec
2037,0,all_sec
2036,0,all_sec
2035,0,all_sec
2034,0,all_sec
2033,0,all_sec
2032,0,all_sec
2031,0,all_sec
2030,0,all_sec
2029,0,all_sec
2028,0,all_sec
2027,0,all_sec
2026,0.02913284,all_sec
2025,0.02913284,all_sec
2024,0.02913284,all_sec
2023,0.06246046884,all_sec
2022,0.07961202744,all_sec
2021,0.07609814053,all_sec
2020,0.07738370158,all_sec
2019,0.07600713643,all_sec
2018,0.079386989,all_sec
2017,0.0921326065,all_sec
2016,0.0921326065,all_sec
2015,0.0921326065,all_sec
2014,0.0921326065,all_sec
2013,0.0921326065,all_sec
2012,0.0921326065,all_sec
2011,0.0921326065,all_sec
2010,0.0921326065,all_sec
2009,0.0921326065,all_sec
2008,0.0921326065,all_sec
2007,0.0921326065,all_sec
2006,0.0921326065,all_sec
2005,0.0921326065,all_sec
2004,0.0921326065,all_sec
2003,0.0921326065,all_sec
2002,0.0921326065,all_sec
2001,0.0921326065,all_sec
2000,0.0921326065,all_sec
1999,0.0921326065,all_sec
1998,0.0921326065,all_sec
1997,0.0921326065,all_sec
1996,0.0921326065,all_sec
1995,0.0921326065,all_sec
1994,0.0921326065,all_sec
1993,0.0921326065,all_sec
1992,0.0921326065,all_sec
1991,0.0921326065,all_sec
1990,0.0921326065,all_sec
1989,0.0921326065,all_sec
1988,0.0629997665,all_sec
1987,0.0127456175,all_sec
1986,0,all_sec
1985,0,all_sec
1984,0,all_sec
1983,0,all_sec
1982,0,all_sec
1981,0,all_sec
1980,0,all_sec
1979,0,all_sec
1978,0,all_sec
1977,0,all_sec
1976,0,all_sec
1975,0,all_sec
1974,0,all_sec
1973,0,all_sec
1972,0,all_sec
1971,0,all_sec
1970,0,all_sec
1969,0,all_sec
1968,0,all_sec
1967,0,all_sec
1966,0,all_sec
1965,0,all_sec
1964,0,all_sec
1963,0,all_sec
1962,0,all_sec
1961,0,all_sec
1960,0,all_sec
1959,0,all_sec
1958,0,all_sec
1957,0,all_sec
1956,0,all_sec
1955,0,all_sec
1954,0,all_sec
1953,0,all_sec
1952,0,all_sec
1951,0,all_sec
1950,0,all_sec
