"","year","sector","lifetime_probability"
"1",1,"tran",0
"2",1,"mach",0
"3",1,"pack",1
"4",1,"heal",1
"5",1,"buil",0
"6",1,"elec",0
"7",1,"hous",0.000636
"8",1,"comm",0.000636
"9",1,"agri",0.109
"10",1,"text",4.76e-08
"11",1,"othe",4.76e-08
"12",2,"tran",0
"13",2,"mach",0
"14",2,"pack",0.00016
"15",2,"heal",0.00016
"16",2,"buil",0
"17",2,"elec",1.82e-08
"18",2,"hous",0.138
"19",2,"comm",0.138
"20",2,"agri",0.484
"21",2,"text",0.00147
"22",2,"othe",0.00147
"23",3,"tran",1.28e-10
"24",3,"mach",1.28e-10
"25",3,"pack",6.28e-13
"26",3,"heal",6.28e-13
"27",3,"buil",0
"28",3,"elec",5.66e-05
"29",3,"hous",0.426
"30",3,"comm",0.426
"31",3,"agri",0.27
"32",3,"text",0.0541
"33",3,"othe",0.0541
"34",4,"tran",2.09e-07
"35",4,"mach",2.09e-07
"36",4,"pack",0
"37",4,"heal",0
"38",4,"buil",0
"39",4,"elec",0.00349
"40",4,"hous",0.288
"41",4,"comm",0.288
"42",4,"agri",0.0926
"43",4,"text",0.214
"44",4,"othe",0.214
"45",5,"tran",2.22e-05
"46",5,"mach",2.22e-05
"47",5,"pack",0
"48",5,"heal",0
"49",5,"buil",0
"50",5,"elec",0.0335
"51",5,"hous",0.106
"52",5,"comm",0.106
"53",5,"agri",0.0295
"54",5,"text",0.289
"55",5,"othe",0.289
"56",6,"tran",0.000496
"57",6,"mach",0.000496
"58",6,"pack",0
"59",6,"heal",0
"60",6,"buil",0
"61",6,"elec",0.111
"62",6,"hous",0.0305
"63",6,"comm",0.0305
"64",6,"agri",0.00958
"65",6,"text",0.22
"66",6,"othe",0.22
"67",7,"tran",0.00409
"68",7,"mach",0.00409
"69",7,"pack",0
"70",7,"heal",0
"71",7,"buil",0
"72",7,"elec",0.19
"73",7,"hous",0.00801
"74",7,"comm",0.00801
"75",7,"agri",0.00327
"76",7,"text",0.123
