year,bau_rr
2050,0.0860
2049,0.0860
2048,0.0860
2047,0.0860
2046,0.0860
2045,0.0860
2044,0.0860
2043,0.0860
2042,0.0860
2041,0.0860
2040,0.0860
2039,0.0860
2038,0.0860
2037,0.0860
2036,0.0860
2035,0.0860
2034,0.0860
2033,0.0860
2032,0.0860
2031,0.0860
2030,0.0860
2029,0.0860
2028,0.0860
2027,0.0860
2026,0.0860
2025,0.0860
2024,0.0860
2023,0.0860
2022,0.0860
2021,0.0860
2020,0.0860
2019,0.0860
2018,0.0860
2017,0.0859
2016,0.0859
2015,0.0859
2014,0.0858
2013,0.0857
2012,0.0855
2011,0.0853
2010,0.0850
2009,0.0845
2008,0.0837
2007,0.0826
2006,0.0811
2005,0.0788
2004,0.0757
2003,0.0716
2002,0.0661
2001,0.0593
2000,0.0515
1999,0.0430
1998,0.0345
1997,0.0267
1996,0.0199
1995,0.0144
1994,0.0103
1993,0.0072
1992,0.0049
1991,0.0034
1990,0.0023
1989,0.0015
1988,0.0010
1987,0.0007
1986,0.0005
1985,0.0003
1984,0.0002
1983,0.0001
1982,0.0001
1981,0.0001
1980,0.0000
1979,0.0000
1978,0.0000
1977,0.0000
1976,0.0000
1975,0.0000
1974,0.0000
1973,0.0000
1972,0.0000
1971,0.0000
1970,0.0000
1969,0.0000
1968,0.0000
1967,0.0000
1966,0.0000
1965,0.0000
1964,0.0000
1963,0.0000
1962,0.0000
1961,0.0000
1960,0.0000
1959,0.0000
1958,0.0000
1957,0.0000
1956,0.0000
1955,0.0000
1954,0.0000
1953,0.0000
1952,0.0000
1951,0.0000
1950,0.0000
